            sIP|            dIP|     packets|          bytes|                     sTime|                     eTime|
     10.0.40.53|192.168.121.145|           9|            408|2015/06/02T13:39:31.779000|2015/06/02T13:39:31.791000|
     10.0.40.53| 192.168.121.77|           9|            408|2015/06/02T13:39:44.244000|2015/06/02T13:39:44.258000|
     10.0.40.53| 192.168.121.57|           9|            408|2015/06/02T13:39:44.369000|2015/06/02T13:39:44.380000|
     10.0.40.53|192.168.121.244|           9|            408|2015/06/02T13:39:51.966000|2015/06/02T13:39:51.981000|
     10.0.40.20| 192.168.121.57|          13|           1714|2015/06/02T13:39:54.712000|2015/06/02T13:39:54.759000|
     10.0.40.20| 192.168.121.57|           1|             40|2015/06/02T13:39:54.759000|2015/06/02T13:39:54.759000|
     10.0.40.53|192.168.121.158|           9|            408|2015/06/02T13:40:02.386000|2015/06/02T13:40:02.401000|
     10.0.40.20|192.168.121.145|          16|           6552|2015/06/02T13:40:22.261000|2015/06/02T13:40:22.309000|
     10.0.40.20|192.168.121.145|           2|             80|2015/06/02T13:40:22.309000|2015/06/02T13:40:22.309000|
     10.0.40.53|192.168.121.145|           9|            408|2015/06/02T13:40:31.901000|2015/06/02T13:40:31.912000|
     10.0.40.53| 192.168.121.77|           9|            408|2015/06/02T13:40:44.865000|2015/06/02T13:40:44.877000|
     10.0.40.53| 192.168.121.57|           9|            408|2015/06/02T13:40:44.960000|2015/06/02T13:40:44.976000|
     10.0.40.53|192.168.121.244|           9|            408|2015/06/02T13:40:52.432000|2015/06/02T13:40:52.443000|
     10.0.40.21|192.168.121.244|          11|           2208|2015/06/02T13:40:58.300000|2015/06/02T13:40:58.317000|
     10.0.40.21|192.168.121.244|           1|             40|2015/06/02T13:40:58.317000|2015/06/02T13:40:58.317000|
     10.0.40.20| 192.168.121.77|          20|           3204|2015/06/02T13:40:46.525000|2015/06/02T13:40:58.992000|
     10.0.40.20| 192.168.121.77|          22|           3382|2015/06/02T13:40:46.551000|2015/06/02T13:40:58.999000|
     10.0.40.20| 192.168.121.77|          24|           2784|2015/06/02T13:40:46.583000|2015/06/02T13:40:59.005000|
     10.0.40.53|192.168.121.158|           9|            408|2015/06/02T13:41:03.398000|2015/06/02T13:41:03.410000|
     10.0.40.21| 192.168.121.57|           9|           2128|2015/06/02T13:41:18.404000|2015/06/02T13:41:18.420000|
     10.0.40.21| 192.168.121.57|           1|             40|2015/06/02T13:41:18.420000|2015/06/02T13:41:18.420000|
     10.0.40.21| 192.168.121.57|           1|             40|2015/06/02T13:41:18.421000|2015/06/02T13:41:18.421000|
     10.0.40.21| 192.168.121.57|           1|             40|2015/06/02T13:41:18.421000|2015/06/02T13:41:18.421000|
     10.0.40.21|192.168.121.158|          10|           2168|2015/06/02T13:41:28.384000|2015/06/02T13:41:28.404000|
     10.0.40.21|192.168.121.158|           2|             80|2015/06/02T13:41:28.404000|2015/06/02T13:41:28.404000|
  192.168.40.20|192.168.121.158|           8|           3272|2015/06/02T13:41:29.248000|2015/06/02T13:41:29.278000|
     10.0.40.53|192.168.121.145|           9|            408|2015/06/02T13:41:32.773000|2015/06/02T13:41:32.787000|
     10.0.40.53| 192.168.121.57|           9|            408|2015/06/02T13:41:45.377000|2015/06/02T13:41:45.389000|
